class,cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-root,stem-surface,stem-color,veil-type,veil-color,has-ring,ring-type,spore-print-color,habitat,season
e,22.58,p,y,w,f,,,w,28.14,22.82,s,,n,,,t,m,,d,u
p,14.84,x,h,e,f,e,,w,16.96,16.53,s,y,w,u,w,t,p,,d,w
p,11.75,f,,n,f,e,,w,10.66,12.77,,,w,u,w,t,e,,d,u
p,6.47,b,t,w,f,e,c,w,11.56,12.5,,y,w,u,w,t,l,,d,u
e,14.53,x,e,n,t,e,,w,10.13,17.82,,,w,,,t,,,g,u
p,2.99,f,y,n,f,e,c,n,4.57,3.52,,k,w,,,t,e,,d,a
e,8.44,x,,w,f,e,,w,6.18,13.19,b,,y,u,y,t,g,,d,a
e,1.87,s,y,n,f,d,d,p,6.6,3.21,,i,n,,,f,f,,l,u
p,4.25,x,y,n,f,a,,w,5.5,3.62,,y,y,,,t,r,,h,u
e,6.41,x,,w,f,e,,w,5.76,11.57,b,,w,u,w,t,g,,d,u
e,6.5,x,h,n,f,e,,w,13.52,12.89,,s,n,u,w,f,f,,d,a
e,5.59,x,,w,f,e,,w,5.5,12.0,b,,w,u,w,t,g,,d,a
p,7.93,x,h,r,f,,c,w,10.5,14.92,,,w,u,w,t,g,,d,u
p,3.17,x,y,n,f,a,,w,6.03,3.43,,y,y,,,t,r,,d,a
p,7.86,b,t,w,f,e,c,w,13.41,13.83,,y,w,u,w,t,e,,d,u
p,12.55,f,,n,f,e,,w,11.16,17.29,,,w,u,w,t,g,,d,a
e,2.47,f,y,n,f,a,d,p,8.17,3.24,,i,n,,,f,f,,h,a
e,7.07,x,,w,f,e,,w,5.73,12.4,b,,y,u,w,t,g,,d,a
p,7.91,f,h,r,f,,c,w,10.93,16.73,,,w,u,w,t,g,,d,a
e,5.4,x,h,n,f,e,,w,12.23,11.34,,s,w,u,w,f,f,,d,a
e,9.88,f,,n,t,,,w,11.5,16.91,b,,w,u,w,t,g,,d,a
p,3.53,b,y,w,f,e,c,w,4.15,3.46,,k,w,,,t,e,,d,a
p,6.71,p,g,n,f,e,,w,7.71,14.46,,y,w,u,w,t,p,,d,u
e,11.89,x,,n,t,,,w,11.28,18.11,b,,w,u,w,t,g,,d,a
e,16.56,p,y,w,f,,,w,20.26,19.64,s,,n,,,t,m,,m,u
p,11.57,x,,g,f,e,,w,10.81,15.22,,,w,u,w,t,e,,d,u
p,7.48,p,g,n,f,e,,w,7.72,15.88,,y,w,u,w,t,p,,d,u
e,6.98,c,t,n,f,e,,w,13.19,13.27,,s,w,u,w,f,f,,d,a
e,5.81,x,,y,f,e,,w,5.58,11.74,b,,w,u,y,t,g,,d,u
e,7.12,x,,y,f,e,,w,6.26,13.12,b,,y,u,w,t,g,,d,u
p,3.36,b,y,e,f,e,c,n,4.31,3.44,,k,w,,,t,e,,d,a
p,3.36,x,y,n,f,a,,w,5.29,3.33,,y,y,,,t,r,,g,u
p,3.3,x,y,y,f,a,,w,5.79,3.53,,y,y,,,t,r,,g,u
e,3.01,x,,b,f,,d,w,7.06,4.85,,,w,,,f,f,,d,a
p,12.49,x,,g,f,e,,w,11.27,16.07,,,w,u,w,t,g,,d,a
e,3.17,s,y,n,f,a,d,p,6.46,4.51,,i,n,,,f,f,,h,u
e,18.54,f,y,n,f,,,w,21.67,19.75,s,,n,,,t,m,,d,u
e,2.04,f,y,n,f,d,d,p,6.68,2.69,,i,n,,,f,f,,h,u
p,3.86,b,y,e,f,e,c,w,4.95,3.54,,k,w,,,t,e,,m,a
p,15.03,x,g,e,f,e,,w,17.37,17.01,s,y,w,u,w,t,g,,d,w
e,12.46,x,,n,t,,,w,11.07,18.86,b,,w,u,w,t,g,,d,u
e,5.93,x,t,n,f,e,,w,11.86,12.17,,s,n,u,w,f,f,,d,a
e,2.83,s,y,n,f,d,d,p,7.33,3.6,,i,n,,,f,f,,l,u
p,8.27,b,t,w,f,e,c,w,14.17,13.44,,y,w,u,w,t,e,,d,a
p,7.05,b,t,w,f,e,c,w,12.77,12.07,,y,w,u,w,t,l,,d,a
e,11.75,p,y,w,f,,,w,18.4,16.96,s,,n,,,t,m,,m,a
e,6.89,c,h,n,f,e,,w,12.09,11.83,,s,w,u,w,f,f,,d,a
p,3.47,x,y,y,f,a,,w,5.0,3.45,,y,n,,,t,r,,h,u
p,3.85,b,y,w,f,e,c,w,4.54,3.51,,k,w,,,t,e,,d,a
e,7.5,x,,y,f,e,,w,5.88,11.88,b,,w,u,w,t,g,,d,a
p,2.42,x,y,y,f,a,,w,4.86,3.17,,y,n,,,t,r,,g,u
e,5.31,c,h,n,f,e,,w,11.86,11.87,,s,w,u,w,f,f,,d,u
e,7.49,x,,y,f,e,,w,6.34,12.23,b,,y,u,w,t,g,,d,u
p,3.97,f,y,e,f,e,c,n,4.4,3.54,,k,w,,,t,e,,m,u
e,2.75,s,y,n,f,d,d,p,8.73,4.46,,i,n,,,f,f,,l,u
p,3.09,b,y,w,f,e,c,n,4.34,3.47,,k,w,,,t,e,,m,a
p,6.73,x,g,n,f,e,,w,8.09,15.55,,y,w,u,w,t,p,,d,u
p,3.69,x,y,y,f,a,,w,6.16,3.69,,y,n,,,t,r,,g,a
e,6.1,x,,y,f,e,,w,6.55,13.03,b,,y,u,y,t,g,,d,a
e,5.87,x,t,n,f,e,,w,12.83,12.78,,s,w,u,w,f,f,,d,a
p,8.38,f,h,r,f,,c,w,10.96,15.74,,,w,u,w,t,p,,d,a
p,3.68,b,y,w,f,e,c,n,4.03,3.3,,k,w,,,t,e,,m,u
p,16.08,x,g,e,f,e,,w,18.4,18.61,s,y,w,u,w,t,g,,d,w
p,3.03,x,y,y,f,a,,w,5.79,3.47,,y,n,,,t,r,,g,a
p,3.92,b,y,e,f,e,c,n,4.25,3.66,,k,w,,,t,e,,d,u
e,4.85,x,h,n,f,e,,w,12.43,12.97,,s,n,u,w,f,f,,d,u
e,12.52,x,,n,t,,,w,9.97,14.81,b,,w,u,w,t,g,,d,a
e,3.35,x,,u,f,,d,u,6.82,4.8,,,w,,,f,f,,d,w
p,11.96,f,,g,f,e,,w,11.13,15.37,,,w,u,w,t,e,,d,a
p,17.62,x,g,e,f,e,,w,20.11,19.12,s,y,w,u,w,t,p,,d,w
e,1.59,f,y,n,f,a,d,p,5.38,2.63,,i,n,,,f,f,,l,u
e,5.01,c,h,n,f,e,,w,11.83,11.52,,s,w,u,w,f,f,,d,u
e,3.45,s,y,n,f,a,d,p,7.1,3.26,,i,n,,,f,f,,h,a
e,9.25,x,,n,t,,,w,9.77,14.27,b,,w,u,w,t,g,,d,u
e,6.03,x,,y,f,e,,w,6.06,12.61,b,,w,u,y,t,g,,d,a
p,2.87,x,y,n,f,a,,w,5.4,3.47,,y,y,,,t,r,,d,a
p,7.47,x,h,r,f,,c,w,10.53,12.82,,,w,u,w,t,p,,d,a
p,5.77,x,h,r,f,,c,w,10.7,13.18,,,w,u,w,t,g,,d,a
p,7.02,x,h,r,f,,c,w,10.81,13.37,,,w,u,w,t,p,,d,a
p,7.88,x,g,n,f,e,,w,9.11,18.72,,y,w,u,w,t,p,,d,a
e,2.56,x,,b,f,,d,u,7.19,4.6,,,w,,,f,f,,d,a
e,2.08,f,y,n,f,d,d,p,7.33,3.5,,i,n,,,f,f,,l,u
e,10.73,f,,n,t,,,w,10.83,17.88,b,,w,u,w,t,g,,d,a
p,3.58,x,y,y,f,a,,w,5.64,3.62,,y,n,,,t,r,,d,a
e,6.31,x,,y,f,e,,w,6.14,12.0,b,,w,u,y,t,g,,d,u
e,2.8,x,,b,f,,d,w,6.32,5.14,,,w,,,f,f,,d,w
e,2.69,f,y,n,f,a,d,p,7.51,3.51,,i,n,,,f,f,,l,a
e,6.19,x,h,n,f,e,,w,10.72,10.76,,s,w,u,w,f,f,,d,a
p,12.47,f,,g,f,e,,w,10.98,17.7,,,w,u,w,t,e,,d,a
p,7.26,p,g,n,f,e,,w,8.59,18.42,,y,w,u,w,t,p,,d,u
p,8.8,p,g,n,f,e,,w,8.29,17.99,,y,w,u,w,t,p,,d,a
e,2.51,x,,b,f,,d,u,5.71,4.38,,,w,,,f,f,,d,a
p,13.06,f,,n,f,e,,w,10.6,12.99,,,w,u,w,t,g,,d,a
e,15.27,x,y,n,t,e,,w,10.34,16.36,,,w,,,t,,,d,a
p,13.14,f,h,e,f,e,,w,17.96,18.09,s,y,w,u,w,t,g,,d,a
e,10.87,x,,n,t,,,w,11.28,19.0,b,,w,u,w,t,g,,d,u
e,5.47,x,,w,f,e,,w,6.32,13.33,b,,y,u,y,t,g,,d,u
p,2.54,f,y,w,f,e,c,n,3.65,3.14,,k,w,,,t,e,,d,u
e,6.33,x,,w,f,e,,w,5.87,12.06,b,,y,u,y,t,g,,d,a
e,9.72,x,,n,t,,,w,9.89,15.53,b,,w,u,w,t,g,,d,a
p,9.77,x,h,r,f,,c,w,11.03,15.35,,,w,u,w,t,g,,d,u
p,8.71,x,g,n,f,e,,w,8.39,16.27,,y,w,u,w,t,p,,d,u
e,6.36,x,,w,f,e,,w,6.03,12.79,b,,w,u,w,t,g,,d,u
p,3.12,f,y,n,f,e,c,w,3.98,3.36,,k,w,,,t,e,,d,u
e,8.91,f,,n,t,,,w,11.04,14.72,b,,w,u,w,t,g,,d,a
p,14.06,f,h,e,f,e,,w,16.44,15.68,s,y,w,u,w,t,g,,d,u
e,17.24,f,y,n,f,,,w,24.66,18.93,s,,n,,,t,m,,m,u
e,2.79,x,,b,f,,d,u,6.27,4.47,,,w,,,f,f,,d,w
e,17.13,p,y,w,f,,,w,26.64,19.98,s,,n,,,t,m,,m,u
p,7.92,x,g,n,f,e,,w,9.05,15.45,,y,w,u,w,t,p,,d,a
e,16.43,x,y,n,t,e,,w,10.61,18.35,,,w,,,t,,,g,a
e,1.95,s,y,n,f,a,d,p,6.36,3.98,,i,n,,,f,f,,l,a
e,14.82,x,e,n,t,e,,w,10.2,16.79,,,w,,,t,,,d,u
e,3.34,x,,u,f,,d,u,6.18,4.68,,,w,,,f,f,,d,a
p,11.42,f,,n,f,e,,w,11.04,15.97,,,w,u,w,t,g,,d,a
p,7.13,b,t,w,f,e,c,w,12.55,12.77,,y,w,u,w,t,l,,d,u
e,2.98,x,,b,f,,d,u,5.64,4.56,,,w,,,f,f,,d,u
e,6.81,x,,w,f,e,,w,6.08,12.81,b,,y,u,y,t,g,,d,u
p,15.38,x,g,o,f,e,,w,17.26,16.88,s,y,w,u,w,t,p,,d,w
e,6.4,x,h,n,f,e,,w,10.74,11.83,,s,n,u,w,f,f,,d,u
p,7.36,p,g,n,f,e,,w,8.77,16.55,,y,w,u,w,t,p,,d,u
p,3.46,b,y,w,f,e,c,n,4.83,3.61,,k,w,,,t,e,,d,a
p,3.89,x,y,n,f,a,,w,5.25,3.27,,y,n,,,t,r,,g,a
p,7.28,p,g,n,f,e,,w,8.07,14.9,,y,w,u,w,t,p,,d,u
e,5.73,x,,w,f,e,,w,6.13,13.51,b,,w,u,y,t,g,,d,a
e,3.59,x,,b,f,,d,w,6.1,5.24,,,w,,,f,f,,d,a
e,5.52,x,h,n,f,e,,w,13.36,12.94,,s,n,u,w,f,f,,d,u
e,11.27,f,,n,t,,,w,11.63,19.86,b,,w,u,w,t,g,,d,a
e,7.0,x,,w,f,e,,w,5.91,12.7,b,,y,u,y,t,g,,d,a
e,3.08,f,y,n,f,a,d,p,8.35,4.0,,i,n,,,f,f,,h,a
p,3.21,x,y,y,f,a,,w,5.74,3.54,,y,n,,,t,r,,d,a
p,3.14,x,y,y,f,a,,w,5.61,3.55,,y,y,,,t,r,,h,a
p,16.17,f,h,e,f,e,,w,17.67,18.06,s,y,w,u,w,t,g,,d,a
p,13.52,f,,n,f,e,,w,11.29,17.01,,,w,u,w,t,g,,d,u
p,14.49,x,h,o,f,e,,w,17.86,17.22,s,y,w,u,w,t,g,,d,w
p,8.0,b,t,w,f,e,c,w,11.07,11.34,,y,w,u,w,t,l,,d,u
e,3.12,s,y,n,f,d,d,p,6.84,3.26,,i,n,,,f,f,,l,u
e,14.43,x,e,n,t,e,,w,9.58,16.93,,,w,,,t,,,g,a
e,18.84,f,y,n,f,,,w,29.83,22.89,s,,n,,,t,m,,d,a
e,2.93,x,,u,f,,d,u,6.36,4.72,,,w,,,f,f,,d,w
p,14.49,x,h,o,f,e,,w,17.45,18.1,s,y,w,u,w,t,p,,d,w
e,5.48,c,t,n,f,e,,w,12.22,11.83,,s,w,u,w,f,f,,d,u
p,3.85,b,y,p,f,e,c,w,4.37,3.4,,k,w,,,t,e,,m,u
p,2.88,f,y,n,f,e,c,n,3.93,3.48,,k,w,,,t,e,,d,a
e,18.73,f,y,n,f,,,w,28.26,20.02,s,,n,,,t,m,,d,a
e,15.48,p,y,n,f,,,w,19.75,18.45,s,,n,,,t,m,,m,u
e,8.76,x,,n,t,,,w,8.56,15.08,b,,w,u,w,t,g,,d,u
p,6.4,x,g,n,f,e,,w,7.35,14.37,,y,w,u,w,t,p,,d,a
p,3.93,b,y,n,f,e,c,n,4.51,3.52,,k,w,,,t,e,,d,u
e,6.11,x,,w,f,e,,w,6.27,13.04,b,,w,u,w,t,g,,d,u
p,3.44,x,y,y,f,a,,w,4.73,3.47,,y,y,,,t,r,,h,a
e,17.46,x,y,n,t,e,,w,10.69,18.68,,,w,,,t,,,g,u
e,9.31,f,,n,t,,,w,10.61,18.35,b,,w,u,w,t,g,,d,u
p,8.03,x,g,n,f,e,,w,8.63,15.62,,y,w,u,w,t,p,,d,a
p,3.41,b,y,w,f,e,c,w,4.29,3.56,,k,w,,,t,e,,m,u
p,16.37,f,g,o,f,e,,w,18.37,18.7,s,y,w,u,w,t,g,,d,a
e,7.61,x,,w,f,e,,w,6.62,13.12,b,,w,u,y,t,g,,d,u
e,2.34,x,,u,f,,d,w,6.39,4.84,,,w,,,f,f,,d,u
e,14.97,x,y,n,t,e,,w,9.89,17.23,,,w,,,t,,,d,a
e,2.51,f,y,n,f,a,d,p,5.91,4.07,,i,n,,,f,f,,l,u
p,3.18,b,y,p,f,e,c,n,4.31,3.53,,k,w,,,t,e,,m,u
e,2.87,x,,b,f,,d,w,6.18,4.75,,,w,,,f,f,,d,u
p,4.28,b,y,p,f,e,c,n,4.97,3.72,,k,w,,,t,e,,d,a
e,1.94,s,y,n,f,d,d,p,5.3,3.03,,i,n,,,f,f,,l,u
p,7.69,p,g,n,f,e,,w,7.88,14.33,,y,w,u,w,t,p,,d,u
e,5.74,c,t,n,f,e,,w,12.09,11.98,,s,n,u,w,f,f,,d,a
p,8.06,f,h,r,f,,c,w,10.5,12.37,,,w,u,w,t,g,,d,u
p,8.38,x,g,n,f,e,,w,7.99,15.7,,y,w,u,w,t,p,,d,u
e,1.89,x,,b,f,,d,u,5.08,3.9,,,w,,,f,f,,d,a
p,7.94,x,g,n,f,e,,w,7.99,15.26,,y,w,u,w,t,p,,d,u
p,4.06,f,y,p,f,e,c,w,4.31,3.43,,k,w,,,t,e,,m,a
e,6.22,c,h,n,f,e,,w,12.21,12.65,,s,n,u,w,f,f,,d,a
p,2.95,x,y,n,f,a,,w,5.47,3.45,,y,y,,,t,r,,h,u
p,7.49,x,g,n,f,e,,w,9.18,16.67,,y,w,u,w,t,p,,d,a
p,3.64,x,y,n,f,a,,w,6.02,3.5,,y,y,,,t,r,,h,a
p,14.81,x,g,o,f,e,,w,18.45,17.27,s,y,w,u,w,t,g,,d,u
e,6.14,x,,w,f,e,,w,6.37,12.46,b,,y,u,y,t,g,,d,u
p,7.7,p,g,n,f,e,,w,8.95,16.63,,y,w,u,w,t,p,,d,u
p,12.67,x,,n,f,e,,w,10.92,15.31,,,w,u,w,t,e,,d,a
e,2.95,x,,b,f,,d,u,5.93,4.69,,,w,,,f,f,,d,a
e,14.29,x,e,n,t,e,,w,10.07,17.92,,,w,,,t,,,d,u
p,9.57,x,h,r,f,,c,w,11.4,16.88,,,w,u,w,t,p,,d,a
p,3.08,b,y,e,f,e,c,n,4.47,3.43,,k,w,,,t,e,,m,u
p,3.78,x,y,y,f,a,,w,5.65,3.48,,y,y,,,t,r,,h,u
p,7.18,f,h,r,f,,c,w,11.04,15.4,,,w,u,w,t,g,,d,u
e,5.72,x,,w,f,e,,w,5.95,10.94,b,,w,u,y,t,g,,d,a
p,3.87,b,y,e,f,e,c,n,4.43,3.46,,k,w,,,t,e,,m,u
p,3.02,x,y,y,f,a,,w,5.69,3.53,,y,n,,,t,r,,d,a
e,2.2,x,,u,f,,d,u,5.58,3.72,,,w,,,f,f,,d,u
e,9.05,f,,g,f,s,c,b,8.21,20.99,,,u,,,f,f,,l,w
e,2.92,f,y,n,f,a,d,p,7.07,3.79,,i,n,,,f,f,,l,a
p,12.78,f,g,e,f,e,,w,17.45,17.19,s,y,w,u,w,t,g,,d,a
p,8.22,x,h,r,f,,c,w,11.32,16.71,,,w,u,w,t,p,,d,u
p,13.29,x,,g,f,e,,w,11.29,16.32,,,w,u,w,t,e,,d,a
e,5.18,x,,w,f,e,,w,5.5,11.19,b,,y,u,y,t,g,,d,a
e,7.17,x,,y,f,e,,w,6.12,12.02,b,,w,u,w,t,g,,d,a
e,9.26,x,,n,t,,,w,11.94,14.93,b,,w,u,w,t,g,,d,a
p,8.8,b,t,w,f,e,c,w,13.74,13.47,,y,w,u,w,t,e,,d,a
e,6.0,c,h,n,f,e,,w,11.82,12.35,,s,n,u,w,f,f,,d,u
e,7.56,f,,n,f,s,c,u,5.81,17.04,,,u,,,f,f,,l,a
e,23.97,p,y,w,f,,,w,27.33,20.64,s,,n,,,t,m,,m,a
p,7.18,b,t,w,f,e,c,w,12.62,12.61,,y,w,u,w,t,l,,d,a
p,15.32,x,g,e,f,e,,w,15.9,17.1,s,y,w,u,w,t,p,,d,w
e,5.6,c,t,n,f,e,,w,12.07,11.43,,s,n,u,w,f,f,,d,u
e,2.49,x,,u,f,,d,u,6.44,5.01,,,w,,,f,f,,d,a
e,21.13,f,y,n,f,,,w,24.56,20.44,s,,n,,,t,m,,m,a
e,15.82,x,e,n,t,e,,w,10.56,18.14,,,w,,,t,,,g,u
e,12.71,p,y,n,f,,,w,27.24,18.95,s,,n,,,t,m,,d,a
p,7.59,x,g,n,f,e,,w,8.14,15.62,,y,w,u,w,t,p,,d,a
p,9.56,f,h,r,f,,c,w,11.57,17.18,,,w,u,w,t,p,,d,a
p,8.09,b,t,w,f,e,c,w,12.57,13.0,,y,w,u,w,t,e,,d,a
e,5.67,c,t,n,f,e,,w,12.18,12.23,,s,w,u,w,f,f,,d,u
e,21.84,p,y,w,f,,,w,26.51,21.68,s,,n,,,t,m,,m,a
p,7.9,p,g,n,f,e,,w,8.63,15.98,,y,w,u,w,t,p,,d,a
p,7.91,x,h,r,f,,c,w,10.09,13.24,,,w,u,w,t,p,,d,a
e,6.6,x,,y,f,e,,w,6.26,11.73,b,,y,u,w,t,g,,d,a
e,13.52,x,e,n,t,e,,w,8.59,16.55,,,w,,,t,,,g,u
p,13.8,f,,n,f,e,,w,11.05,15.48,,,w,u,w,t,e,,d,u
e,2.88,x,,u,f,,d,u,5.28,3.83,,,w,,,f,f,,d,u
e,2.72,x,,b,f,,d,u,6.01,4.62,,,w,,,f,f,,d,a
e,7.5,x,,w,f,e,,w,6.34,12.28,b,,y,u,y,t,g,,d,a
p,17.5,f,g,o,f,e,,w,18.44,18.52,s,y,w,u,w,t,g,,d,a
p,11.79,f,,g,f,e,,w,11.22,14.3,,,w,u,w,t,e,,d,u
e,1.85,x,,b,f,,d,w,5.42,3.34,,,w,,,f,f,,d,w
p,7.62,x,g,n,f,e,,w,9.56,15.74,,y,w,u,w,t,p,,d,a
e,17.11,p,y,n,f,,,w,25.61,18.85,s,,n,,,t,m,,d,u
e,7.33,f,,n,t,,,w,10.06,15.43,b,,w,u,w,t,g,,d,u
e,7.75,x,,n,t,,,w,8.92,13.05,b,,w,u,w,t,g,,d,u
e,10.24,x,,n,t,,,w,12.13,17.99,b,,w,u,w,t,g,,d,u
e,11.29,f,,n,t,,,w,12.15,19.91,b,,w,u,w,t,g,,d,u
e,6.66,x,t,n,f,e,,w,12.95,12.43,,s,n,u,w,f,f,,d,a
p,7.77,x,h,r,f,,c,w,10.85,14.29,,,w,u,w,t,g,,d,u
e,12.81,f,y,n,f,,,w,19.17,17.9,s,,n,,,t,m,,m,a
p,3.02,f,y,e,f,e,c,n,4.66,3.54,,k,w,,,t,e,,d,u
p,4.17,x,y,y,f,a,,w,6.5,3.44,,y,n,,,t,r,,h,a
p,9.56,x,h,r,f,,c,w,11.16,15.97,,,w,u,w,t,g,,d,a
e,14.71,x,y,n,t,e,,w,9.45,17.14,,,w,,,t,,,d,u
p,3.11,x,y,n,f,a,,w,4.93,3.36,,y,n,,,t,r,,d,u
p,7.22,x,g,n,f,e,,w,7.91,12.24,,y,w,u,w,t,p,,d,a
p,11.89,f,,g,f,e,,w,10.85,16.18,,,w,u,w,t,g,,d,a
p,15.42,f,g,o,f,e,,w,17.15,16.85,s,y,w,u,w,t,g,,d,w
p,8.48,x,h,r,f,,c,w,10.84,14.1,,,w,u,w,t,p,,d,a
p,13.16,f,,g,f,e,,w,10.72,14.51,,,w,u,w,t,e,,d,u
e,16.3,x,y,n,t,e,,w,10.97,19.01,,,w,,,t,,,d,a
p,3.09,x,y,y,f,a,,w,5.21,3.46,,y,n,,,t,r,,d,u
p,4.14,x,y,n,f,a,,w,5.64,3.6,,y,n,,,t,r,,g,a
e,2.01,x,,u,f,,d,w,4.71,3.86,,,w,,,f,f,,d,w
e,5.06,x,t,n,f,e,,w,11.72,11.97,,s,w,u,w,f,f,,d,u
p,13.1,x,g,e,f,e,,w,16.11,16.04,s,y,w,u,w,t,g,,d,u
p,4.44,x,y,y,f,a,,w,5.44,3.43,,y,y,,,t,r,,d,a
e,2.67,f,y,n,f,d,d,p,7.88,3.54,,i,n,,,f,f,,l,a
e,15.39,x,e,n,t,e,,w,11.12,17.49,,,w,,,t,,,g,u
p,3.83,x,y,y,f,a,,w,5.58,3.31,,y,n,,,t,r,,g,u
e,3.09,s,y,n,f,d,d,p,7.33,4.03,,i,n,,,f,f,,l,a
e,2.6,x,,b,f,,d,w,6.62,5.07,,,w,,,f,f,,d,u
p,16.8,f,h,e,f,e,,w,18.57,19.52,s,y,w,u,w,t,p,,d,a
p,8.63,x,h,r,f,,c,w,10.59,12.4,,,w,u,w,t,p,,d,a
p,6.43,b,t,w,f,e,c,w,11.7,12.42,,y,w,u,w,t,l,,d,u
p,9.42,f,h,r,f,,c,w,11.7,16.83,,,w,u,w,t,p,,d,u
e,6.38,x,h,n,f,e,,w,12.48,12.04,,s,n,u,w,f,f,,d,a
e,2.78,x,,b,f,,d,w,6.0,3.86,,,w,,,f,f,,d,u
p,8.35,b,t,w,f,e,c,w,13.56,14.15,,y,w,u,w,t,l,,d,a
p,13.1,x,,n,f,e,,w,11.25,14.69,,,w,u,w,t,e,,d,u
p,11.84,f,,g,f,e,,w,10.95,12.92,,,w,u,w,t,e,,d,a
e,6.47,c,t,n,f,e,,w,13.69,12.33,,s,w,u,w,f,f,,d,a
e,11.47,f,,n,t,,,w,13.46,20.43,b,,w,u,w,t,g,,d,a
p,12.0,x,,g,f,e,,w,10.53,13.78,,,w,u,w,t,e,,d,a
p,8.0,p,g,n,f,e,,w,7.96,15.46,,y,w,u,w,t,p,,d,u
p,3.59,b,y,n,f,e,c,n,5.08,3.74,,k,w,,,t,e,,d,u
e,4.94,x,,y,f,e,,w,5.15,10.94,b,,w,u,y,t,g,,d,u
p,8.97,p,g,n,f,e,,w,8.27,16.53,,y,w,u,w,t,p,,d,a
e,1.8,f,y,n,f,d,d,p,5.37,2.73,,i,n,,,f,f,,h,u
p,8.22,x,h,r,f,,c,w,11.41,15.06,,,w,u,w,t,g,,d,a
p,14.94,x,g,o,f,e,,w,17.72,17.81,s,y,w,u,w,t,p,,d,a
e,2.41,s,y,n,f,d,d,p,8.06,3.88,,i,n,,,f,f,,h,a
p,14.27,x,,n,f,e,,w,11.41,18.9,,,w,u,w,t,e,,d,u
e,3.29,f,y,n,f,a,d,p,7.9,4.37,,i,n,,,f,f,,l,a
e,11.39,x,,n,t,,,w,11.52,18.74,b,,w,u,w,t,g,,d,a
e,6.23,c,h,n,f,e,,w,12.19,12.57,,s,n,u,w,f,f,,d,u
p,3.47,f,y,p,f,e,c,n,3.55,3.31,,k,w,,,t,e,,m,a
e,5.36,c,h,n,f,e,,w,12.98,11.77,,s,w,u,w,f,f,,d,a
p,16.26,x,h,e,f,e,,w,16.7,16.65,s,y,w,u,w,t,g,,d,w
p,7.14,b,t,w,f,e,c,w,12.01,11.96,,y,w,u,w,t,e,,d,u
p,4.49,b,y,n,f,e,c,n,5.95,3.91,,k,w,,,t,e,,d,u
p,15.32,f,g,e,f,e,,w,17.56,17.07,s,y,w,u,w,t,p,,d,a
p,6.37,b,t,w,f,e,c,w,11.11,10.37,,y,w,u,w,t,e,,d,a
e,5.22,c,h,n,f,e,,w,10.45,11.4,,s,n,u,w,f,f,,d,u
e,2.15,x,,b,f,,d,w,5.85,4.17,,,w,,,f,f,,d,a
p,3.48,x,y,n,f,a,,w,5.34,3.55,,y,y,,,t,r,,h,u
e,1.72,x,,b,f,,d,u,5.35,4.19,,,w,,,f,f,,d,w
e,15.48,x,e,n,t,e,,w,10.03,17.4,,,w,,,t,,,d,u
e,12.64,x,,n,t,,,w,11.64,17.88,b,,w,u,w,t,g,,d,a
p,12.35,x,,g,f,e,,w,11.13,17.29,,,w,u,w,t,e,,d,u
e,11.71,f,,n,t,,,w,12.48,17.22,b,,w,u,w,t,g,,d,a
p,8.05,x,h,r,f,,c,w,11.02,14.9,,,w,u,w,t,g,,d,u
p,7.27,x,g,n,f,e,,w,7.87,13.5,,y,w,u,w,t,p,,d,a
e,13.44,p,y,w,f,,,w,20.35,18.11,s,,n,,,t,m,,m,u
e,2.38,f,y,n,f,a,d,p,6.27,2.84,,i,n,,,f,f,,l,a
p,8.0,b,t,w,f,e,c,w,12.29,12.08,,y,w,u,w,t,e,,d,u
e,2.01,s,y,n,f,a,d,p,7.82,3.44,,i,n,,,f,f,,h,u
p,11.69,f,,g,f,e,,w,10.86,14.86,,,w,u,w,t,e,,d,a
e,5.03,x,t,n,f,e,,w,13.15,13.03,,s,w,u,w,f,f,,d,u
p,6.11,b,t,w,f,e,c,w,12.12,12.01,,y,w,u,w,t,e,,d,u
e,2.14,x,,b,f,,d,w,5.59,3.57,,,w,,,f,f,,d,w
p,7.86,b,t,w,f,e,c,w,12.38,13.28,,y,w,u,w,t,l,,d,u
p,14.88,x,h,e,f,e,,w,18.12,18.9,s,y,w,u,w,t,p,,d,w
p,6.18,x,g,n,f,e,,w,6.72,13.92,,y,w,u,w,t,p,,d,u
e,2.82,x,,b,f,,d,u,6.63,5.05,,,w,,,f,f,,d,w
e,10.86,f,,n,t,,,w,10.57,19.12,b,,w,u,w,t,g,,d,u
p,3.75,f,y,p,f,e,c,w,4.18,3.57,,k,w,,,t,e,,m,u
p,11.06,f,,n,f,e,,w,11.05,14.96,,,w,u,w,t,g,,d,u
e,13.26,x,e,n,t,e,,w,8.91,16.96,,,w,,,t,,,g,a
p,7.75,x,h,r,f,,c,w,10.73,13.29,,,w,u,w,t,p,,d,a
p,9.23,x,h,r,f,,c,w,11.21,15.08,,,w,u,w,t,p,,d,u
p,7.24,b,t,w,f,e,c,w,13.06,13.18,,y,w,u,w,t,l,,d,a
p,8.32,x,g,n,f,e,,w,8.41,17.26,,y,w,u,w,t,p,,d,a
e,4.74,x,h,n,f,e,,w,10.94,10.87,,s,w,u,w,f,f,,d,a
